,author_gender,lang,main,mental,published,sentiment,source_followers,source_following,source_location,source_spam_probability,tags,split
1871854,UNKNOWN,en,now playing pretty hurts by beyonca,1,2016-10-16 05:14:41,NEUTRAL,1012,192,"Zofingen, Switzerland",0,,play pretti hurt beyonca
3124208,UNKNOWN,en,    next week will send you few samples for testing up to you to select top coffee lovers to give to easy task,0,2016-01-27 14:33:59,NEUTRAL,497,126,Geneva,0,,next week send sampl test select top coffe lover give easi task
3137321,FEMALE,en,never leave me alone late at night my depressedself comes out and i feel lonely truestory,1,2016-02-27 00:57:14,NEGATIVE,69,469,Switzerland,0,['truestory'],never leav alon late night depressedself come feel lone truestori
2324057,UNKNOWN,en,and some more overwatch pics ,0,2016-09-20 17:32:18,NEUTRAL,113,385,Switzerland,0,,overwatch pic
421917,UNKNOWN,en,with a fan base that spans continents viwe nikita stays overwhelmed with the show of love,0,2016-10-04 14:00:05,NEUTRAL,2464,1990,Ur,0,,fan base span contin viw nikita stay overwhelm show love
1170745,UNKNOWN,en,i dont know my head hurts and my eyes burns i hate my life so much im so sorry  ,1,2016-05-11 04:40:37,NEGATIVE,177,95,Schweiz,0,,dont know head hurt eye burn hate life much im sorri
262227,MALE,en,hater,0,2016-05-03 13:55:37,NEGATIVE,435,511,Geneva,0,,hater
2183264,UNKNOWN,en,ff cutest of the celery lovers  ,0,2016-08-19 20:22:14,NEUTRAL,6925,3505,Pern,0,['ff'],ff cutest celeri lover
3040823,MALE,en,  your cult religion of death makes me very afraid for all families lets ask those who just buried the dead in orlando,1,2016-06-26 01:18:11,NEGATIVE,90,87,Switzerland,0,,cult religion death make afraid famili let ask buri dead orlando
3319379,UNKNOWN,en,im actually so sad to have finished this beautiful experience in manchester,1,2016-05-28 00:05:57,NEUTRAL,327,318,Switzerland,0,,im actual sad finish beauti experi manchest
3257309,MALE,en,as much as i love you you stress me the fuck outyou are literally only following 81 people222 i just did an unfollowing spree last night and i still follow way too many people,0,2016-10-27 02:44:44,NEGATIVE,2436,912,"5h, ddl, ag, tk, NYD, 1D, t100",0,,much love stress fuck outyou liter follow 81 people222 unfollow spree last night still follow way mani peopl
546188,FEMALE,en,    hahaha omg yes and like those sexy child sunglasses i think my overall was in a zebra look,0,2016-01-06 17:46:29,NEUTRAL,998,2047,Switzerland,0,,hahaha omg yes like sexi child sunglass think overal zebra look
806376,MALE,en,    as sad as it is but she entered the country illegally her bf could have helped her to get the right papers,0,2016-05-08 17:47:51,NEUTRAL,7921,2034,Zürich,0,,sad enter countri illeg bf could help get right paper
975705,UNKNOWN,en,low tax zug aims to become switzerlands crypto valley  reuters,0,2016-09-09 22:10:31,NEUTRAL,411,494,Switzerland,0,,low tax zug aim becom switzerland crypto valley reuter
28078,UNKNOWN,en,ww2albert us army troops taking cover in a dukw as they approached a hostile beach date unknown ww2,0,2016-04-01 21:03:34,NEGATIVE,64,642,Geneva,0,['WW2'],ww2albert us armi troop take cover dukw approach hostil beach date unknown ww2
921463,UNKNOWN,en,kmt i hate france,0,2016-05-09 08:30:34,NEGATIVE,864,540,The White White West,0,,kmt hate franc
2661698,UNKNOWN,en,  homesick already,1,2016-08-23 20:21:17,NEUTRAL,21,35,Switzerland,0,,homesick alreadi
375893,UNKNOWN,en,my daughter to me after saying goodnight to her game over papa game over gamer gameoverman,0,2016-07-04 18:42:33,NEUTRAL,57,120,Switzerland,0,"['GameOverMan', 'Gamer']",daughter say goodnight game papa game gamer gameoverman
1958675,UNKNOWN,en,fuck i hate late replies replying me every 12 hours wtf,0,2016-09-17 15:30:03,NEGATIVE,837,515,Court,0,,fuck hate late repli repli everi 12 hour wtf
2349580,UNKNOWN,en,loneliness is the poverty of self solitude is richness of self  may sarton quote solitude,0,2016-10-20 03:00:31,NEGATIVE,4993,3735,Switzerland,0,"['quote', 'solitude']",loneli poverti self solitud rich self may sarton quot solitud
2036947,UNKNOWN,en,  lol crybaby ,0,2016-07-18 12:39:41,NEUTRAL,552,163,Schweiz,0,,lol crybabi
267220,FEMALE,en,and i walk away crcatchup,0,2016-05-03 23:25:48,NEUTRAL,230,131,Switzerland,0,['CRCatchup'],walk away crcatchup
1087297,FEMALE,en,someone just made a reservation for 15 minutes before we close in case you needed more of a reason why i hate people,1,2016-08-10 02:55:14,NEGATIVE,116,297,NW,0,,someon made reserv 15 minut close case need reason hate peopl
274362,UNKNOWN,en,  now just a bunch of aggressive person saying theres something against women in everything they see this is just sad,1,2016-06-03 15:21:59,NEGATIVE,1343,321,Switzerland,0,,bunch aggress person say there someth women everyth see sad
1206970,MALE,en,looking at the qc35  is it possible to have bluetooth on without the noise cancellation or to adjust the nc level from the app,0,2016-08-11 14:22:24,NEGATIVE,54,75,"Genève , Suisse",0,,look qc35 possibl bluetooth without nois cancel adjust nc level app
2319343,MALE,en,whatevs im eating the leftovers now __,0,2016-09-20 22:52:21,NEUTRAL,406,277,Schweiz,0,,whatev im eat leftov __
635151,UNKNOWN,en,  i never get notifications when you quote tweet thats sad  u look super tho,0,2016-10-06 04:10:10,NEUTRAL,708,401,Switzerland,0,,never get notif quot tweet that sad u look super tho
3331819,FEMALE,en,its a little known fact that saddam hussein went to high school in deir ezzor where jolani is from syria,0,2016-07-28 20:40:12,NEUTRAL,3758,3188,"Zürich, Switzerland",0,['Syria'],littl known fact saddam hussein went high school deir ezzor jolani syria
2339817,MALE,en,entrepreneurship the 12 invaluable lessons learned enduring hardship and stress suffering teaches lessons w,0,2016-10-20 11:37:26,NEGATIVE,5497,63,Geneva,0,['Entrepreneurship'],entrepreneurship 12 invalu lesson learn endur hardship stress suffer teach lesson w
2481633,MALE,en,e donald glover cast as young lando in han solo star wars film donald glover is joining the star wars universe,0,2016-10-21 22:10:07,NEUTRAL,5043,5524,Gva,0,,e donald glover cast young lando han solo star war film donald glover join star war univers
3265054,UNKNOWN,en,last soccer practice today how sad,1,2016-10-27 23:28:59,NEGATIVE,3338,781,WALD,0,,last soccer practic today sad
1158374,UNKNOWN,en,all the loot theyve stolen from my 2nd account that hurts especially the dark,1,2016-04-11 04:59:23,NEGATIVE,77,88,Schweiz,0,,loot theyv stolen 2nd account hurt especi dark
1370722,UNKNOWN,en,hated the peacock gbbo,0,2016-10-12 19:56:48,NEGATIVE,46,79,Switzerland,0,['gbbo'],hate peacock gbbo
2988027,MALE,en,  eu banks must downsize futher too greek debt allowance has to come they dont see the way of creative destruction here,0,2016-10-25 05:29:16,NEGATIVE,280,139,"Zurich, Switzerland",0,,eu bank must downsiz futher greek debt allow come dont see way creativ destruct
3706568,UNKNOWN,en,now playing summertime sadness by lana del rey,1,2016-10-30 22:42:08,NEGATIVE,1012,192,"Zofingen, Switzerland",0,,play summertim sad lana del rey
118646,UNKNOWN,en,  people say that you either love it or hate it,0,2016-01-02 21:33:09,NEUTRAL,187,180,Switzerland,0,,peopl say either love hate
2685445,MALE,en,  or providing air cover to isis as the us did,0,2016-09-23 05:12:02,NEUTRAL,66,262,Switzerland,0,,provid air cover isi us
3370578,MALE,en,  i draw the line at objectively demonstrable harm to others moral indignation or hurt feelings do not count as harm,0,2016-09-28 13:21:52,NEGATIVE,256,416,"Zürich, Switzerland",0,,draw line object demonstr harm other moral indign hurt feel count harm
3471579,FEMALE,en,storen youre useless bluejays,0,2016-05-29 21:27:15,NEGATIVE,433,202,Switzerland,0,['BlueJays'],storen your useless bluejay
290783,UNKNOWN,en,which package did you get for mania 32,0,2016-09-03 15:35:09,NEGATIVE,495,613,Geneva,0,,packag get mania 32
490596,MALE,en,the saddest knife f52contest,0,2016-08-05 18:39:18,NEGATIVE,1703,1058,"Lausanne, Switzerland",0,['f52contest'],saddest knife f52contest
1648967,UNKNOWN,en,ultra light beam father stretch my hands pt1 fml no more parties in la le reste je suis pas fan,0,2016-02-15 18:15:16,NEUTRAL,527,531,Switzerland,0,,ultra light beam father stretch hand pt1 fml parti la le rest je sui pas fan
1147078,UNKNOWN,en,im gonna have a breakdown tmrrw,1,2016-02-11 20:24:40,NEUTRAL,122,69,Switzerland,0,,im gonna breakdown tmrrw
2962426,MALE,en,apologies dont do much to cover bruises,1,2016-09-25 09:01:09,NEGATIVE,249,525,Fully,0,,apolog dont much cover bruis
1337170,UNKNOWN,en,getting my eyebrows threaded hurts so bad but i break out every time i get them waxed,0,2016-08-12 19:39:49,NEGATIVE,977,623,Ryan,0,,get eyebrow thread hurt bad break everi time get wax
2344426,FEMALE,en,  i really did oh and everythings cheaper there like mac makeup for example but nutellas expensive af i guess they hate fatties,0,2016-10-20 16:03:15,NEUTRAL,140,101,Suisse,0,,realli oh everyth cheaper like mac makeup exampl nutella expens af guess hate fatti
1240185,UNKNOWN,en,nowplaying charles in the kitchen ch  the spleen controversy couleur 3 edit charlesinthekitchen,0,2016-10-11 06:07:22,NEGATIVE,743,7,Switzerland,0,"['CharlesInTheKitchen', 'nowplaying']",nowplay charl kitchen ch spleen controversi couleur 3 edit charlesinthekitchen
3365411,UNKNOWN,en,  tho its sad but i so loved it,0,2016-09-28 10:16:06,NEUTRAL,708,401,Switzerland,0,,tho sad love
153877,UNKNOWN,en,photoshooting with the cessna sovereign of eaviation cessna eaviation dceis zrh     ,0,2016-05-02 18:32:28,NEUTRAL,27,67,Switzerland,0,"['DCEIS', 'cessna', 'eaviation', 'zrh']",photoshoot cessna sovereign eaviat cessna eaviat dcei zrh
305785,FEMALE,en,  take vanessa beeley seriously clarissa she was just with assad in damascus he killed marie colvin pursue the matter,0,2016-09-03 10:34:26,NEGATIVE,3758,3188,"Zürich, Switzerland",0,,take vanessa beeley serious clarissa assad damascus kill mari colvin pursu matter
2557368,FEMALE,en,juega en la banera a new series of bath books with a rattle published by susaeta ediciones  spain ,0,2016-08-22 08:24:04,NEGATIVE,65,82,"Zurich, Switzerland",0,,juega en la banera new seri bath book rattl publish susaeta edicion spain
1362403,MALE,en,nr we have overspent our yearly natural resources on august 8,0,2016-10-12 21:53:10,NEUTRAL,914,281,Zurich,0,,nr oversp year natur resourc august 8
3608944,FEMALE,en,sad that alicethroughthelookingglas is so much on the special effects side and lost a lot of the initial charm of the tales characters,1,2016-05-30 22:24:47,NEGATIVE,196,748,Switzerland,0,['AliceThroughTheLookingGlas'],sad alicethroughthelookinggla much special effect side lost lot initi charm tale charact
1905758,UNKNOWN,en,  thats why all the germans are always on vacation in spain,0,2016-05-17 13:53:41,NEUTRAL,1875,179,Switzerland,0,,that german alway vacat spain
423733,UNKNOWN,en,  youre allways welcome dont overdo it key,0,2016-10-04 15:59:03,NEUTRAL,184,112,switzerland,0,,your allway welcom dont overdo key
3552574,UNKNOWN,en,stop reminding me that i exist in this sad world,1,2016-10-29 12:54:10,NEGATIVE,6044,555,Switzerland,0,,stop remind exist sad world
2817444,UNKNOWN,en,    true blue blood club man my player of the season last term ,0,2016-09-24 16:22:34,NEUTRAL,1634,1588,Switzerland,0,,true blue blood club man player season last term
1371211,UNKNOWN,en,open consultations on wsis forum at   got consensus on the overall theme information and knowledge society for sdgs ict4d ict4sdg,0,2016-10-12 16:01:00,NEUTRAL,603,508,Switzerland,0,"['ICT4SDG', 'WSIS', 'ict4d']",open consult wsis forum got consensus overal theme inform knowledg societi sdgs ict4d ict4sdg
1288812,MALE,en,  he hates tottenham,0,2016-04-12 16:04:28,NEGATIVE,63,513,Switzerland,0,,hate tottenham
1367918,FEMALE,en,you dont have to be shy to be introverted and you dont have to be loud to put yourself forward for opportunities,1,2016-10-12 13:39:06,NEGATIVE,656,570,Switzerland,0,,dont shi introvert dont loud put forward opportun
2544571,MALE,en,dan painted his nails im so not okay,0,2016-08-22 08:06:08,NEUTRAL,707,356,Switzerland,0,,dan paint nail im okay
2108303,UNKNOWN,en,its been a day how sad,1,2016-10-18 18:51:36,NEGATIVE,276,900,,0,,day sad
2394330,FEMALE,en,and i literally see around 50 people hating on lukes choices and gf on my timeline while 1 supports him which is pretty sad,1,2016-05-21 15:11:32,NEUTRAL,2267,1911,Switzerland,0,,liter see around 50 peopl hate luke choic gf timelin 1 support pretti sad
2990008,MALE,en,some dc person messaged me on facebook talking about omg i hate i didnt speak to you on friday i said oh you were there notcheckn4u,0,2016-10-25 20:52:26,NEGATIVE,4105,1757,"Zurich, Switzerland",0,['notcheckn4u'],dc person messag facebook talk omg hate didnt speak friday said oh notcheckn4u
1165395,FEMALE,en,  yeah i wish haha and then suffer in poverty,0,2016-05-11 03:33:58,NEGATIVE,117,123,,0,,yeah wish haha suffer poverti
3480695,UNKNOWN,en,the last time that i had so short hair was in 2005 fml,1,2016-07-29 09:07:20,NEUTRAL,41,70,Switzerland,0,['fml'],last time short hair 2005 fml
295278,UNKNOWN,en,  what when i never see her smile and her sry but im sad todayits a question i imagine every day ,1,2016-09-03 15:43:13,NEUTRAL,95,79,Switzerland,0,,never see smile sri im sad todayit question imagin everi day
2901367,MALE,en,  in any case whatever happens now the days of special snowflake thatcherist deals with the uk are over,0,2016-06-25 21:49:52,NEUTRAL,164,319,Switzerland,0,,case whatev happen day special snowflak thatcherist deal uk
593395,FEMALE,en,its been 1 year since ariana did the wdym countdown for 22days kekxkalwlfkwldkds,0,2016-08-06 10:53:42,NEUTRAL,2165,682,justin & shawn followed,0,['22days'],1 year sinc ariana wdym countdown 22day kekxkalwlfkwldkd
3663016,UNKNOWN,en,kawhai leonard is overrated af,0,2016-09-30 15:29:50,NEGATIVE,287,198,"Uptown, Downtown, Switzerland",0,,kawhai leonard overr af
307944,FEMALE,en,  you should take it serious clarissa ward did reportage in syria this year and jennifer beeley knows assad he does kill journalists,0,2016-09-03 09:36:45,NEGATIVE,3758,3188,"Zürich, Switzerland",0,,take serious clarissa ward reportag syria year jennif beeley know assad kill journalist
2167185,MALE,en,haters only haters behind donttraveltosweden fb,0,2016-08-19 14:13:56,NEGATIVE,2924,2178,Basel,0,"['donttraveltosweden', 'fb']",hater hater behind donttraveltosweden fb
1284777,MALE,en,gotti overseas container made it  arrived at destination   new york eyewear design ,0,2016-04-12 06:19:24,NEUTRAL,735,242,Zürich,0,"['design', 'eyewear']",gotti oversea contain made arriv destin new york eyewear design
64502,UNKNOWN,en,  how does a ouppy get fldusjed downt he goilrt,0,2016-08-01 03:28:37,NEUTRAL,708,190,"ju, jo, 99gs, & kian follow—nc",0,,ouppi get fldusj downt goilrt
1082960,FEMALE,en,i hate sweet talkers,1,2016-08-10 13:31:25,NEUTRAL,722,123,"Zurich, Switzerland",0,,hate sweet talker
2644179,FEMALE,en,              yearly alduboverloadkilig,0,2016-06-23 20:16:49,NEUTRAL,189,308,Switzerland,0,['ALDUBOverloadKilig'],year alduboverloadkilig
1635549,MALE,en,i hate this bus autobusagliestal,0,2016-10-14 16:22:12,NEGATIVE,900,425,#3052 (switzerland),0,['autobusagliestal'],hate bus autobusagliest
3566396,UNKNOWN,en,4 downs 3 more to go criticalrole,0,2016-10-29 23:58:19,NEUTRAL,86,113,"Saint-Prex, Vaud",0,['Criticalrole'],4 down 3 go criticalrol
163576,UNKNOWN,en,enjoy your fucking overwatch while i jump in front of a train,1,2016-06-02 00:22:37,NEUTRAL,307,78,Switzerland,0,,enjoy fuck overwatch jump front train
1073059,UNKNOWN,en,  im definitely going to the blue lagoon and maybe going to cafe del mar,0,2016-08-10 19:38:01,NEGATIVE,734,649,Switzerland,0,,im definit go blue lagoon mayb go cafe del mar
1898508,UNKNOWN,en,  sad but true,1,2016-05-17 15:19:09,NEGATIVE,561,453,,0,,sad true
321129,UNKNOWN,en,presessions countdown moldova accepted 992 of her recs during the 1st cycle of upr upr26,0,2016-10-03 13:55:28,NEUTRAL,4114,633,"Geneva, Switzerland",0,"['Moldova', 'Presessions', 'UPR', 'UPR26']",presess countdown moldova accept 992 rec 1st cycl upr upr26
2747474,UNKNOWN,en,i hate the fact that im not oblivious,1,2016-04-24 15:32:43,NEUTRAL,336,405,Switzerland,0,,hate fact im oblivi
546897,UNKNOWN,en,i finished a new dyed bowl made out of flamed ash finished with acrylic high gloss lacquer  ,0,2016-01-06 07:53:37,NEUTRAL,76,77,Switzerland,0,,finish new dy bowl made flame ash finish acryl high gloss lacquer
1534898,FEMALE,en,  them blue eyes tho,0,2016-03-14 20:34:22,NEUTRAL,459,440,Switzerland,0,,blue eye tho
1396567,UNKNOWN,en,  i feel so bad for them ,1,2016-02-13 00:29:19,NEGATIVE,757,813,Genève,0,,feel bad
3328144,UNKNOWN,en,now playing out of the blue by delta goodrem,0,2016-07-28 04:43:50,NEUTRAL,1012,192,"Zofingen, Switzerland",0,,play blue delta goodrem
3359678,UNKNOWN,en,i hate the fact that iam never gonna hug you  ,1,2016-09-28 12:07:42,NEUTRAL,424,126,Schweiz,0,,hate fact iam never gonna hug
14722,UNKNOWN,en,i thought his bio was fuck steven universe cat bras i was laughing my ass off and then i saw it was not that sad  ,0,2016-02-01 01:21:42,NEUTRAL,1343,321,Switzerland,0,,thought bio fuck steven univers cat bras laugh ass saw sad
765004,UNKNOWN,en,    ill have to try that i think its just a cheap plastic cover so thatd be a huge help cheers,0,2016-10-07 12:49:57,NEGATIVE,2897,3314,"Lake District, Great Britain",0,,ill tri think cheap plastic cover thatd huge help cheer
2265565,UNKNOWN,en,      one of the things i dont miss about the uk  very sad ,0,2016-05-20 06:32:48,NEGATIVE,1351,1557,Switzerland,0,,one thing dont miss uk sad
2165311,UNKNOWN,en,  im afraid i have to stand by my taxonomy insects however unpleasant some may be are still animals,0,2016-07-19 20:42:05,NEGATIVE,220,203,"Near Zurich, Switzerland",0,,im afraid stand taxonomi insect howev unpleas may still anim
54278,UNKNOWN,en,last post is assads latest ramblings to aus network sbs,0,2016-07-01 16:47:07,NEUTRAL,239000,156000,Visit our dedicated website @,0,,last post assad latest rambl aus network sbs
967862,UNKNOWN,en,a year from now everything youre stressing about wont mean shit,1,2016-08-09 01:22:34,NEGATIVE,-1,0,,0,,year everyth your stress wont mean shit
1532934,UNKNOWN,en,fucking hate it when software just starts installing after i click it give me some bloody options ffs,0,2016-03-14 08:56:34,NEGATIVE,140,270,Zürich,0,,fuck hate softwar start instal click give bloodi option ffs
3739672,FEMALE,en,going on a walk with my baby     myanxietyrelief ,1,2016-07-31 13:24:49,NEUTRAL,362,327,Switzerland,0,['myanxietyrelief'],go walk babi myanxietyrelief
721360,UNKNOWN,en,holy shit i just got up to go downstairs and i actually cant walk because of yesterday im not even kidding i cant walk,0,2016-08-07 17:39:32,NEUTRAL,708,190,"ju, jo, 99gs, & kian follow—nc",0,,holi shit got go downstair actual cant walk yesterday im even kid cant walk
1950632,UNKNOWN,en,paintball  ,0,2016-09-17 17:59:21,NEUTRAL,11,72,Schweiz,0,,paintbal
1686858,UNKNOWN,en,look at me i covered 1184 kilometers with my fitbit and earned the italy badge bunsofsteel lengthofitaly,0,2016-06-15 19:17:06,NEUTRAL,72,396,Switzerland,0,"['Fitbit', 'bunsofsteel', 'lengthofitaly']",look cover 1184 kilomet fitbit earn itali badg bunsofsteel lengthofitali
626644,MALE,en,    wheres a rosenbauer panther airport fire truck when you need to have a hosingdown,0,2016-09-06 16:25:59,NEUTRAL,1126,1070,"Lugano, Switzerland",0,,where rosenbau panther airport fire truck need hosingdown
2808113,UNKNOWN,en,in which part of spain are you  ,0,2016-08-24 17:56:12,NEUTRAL,153,107,6364,0,,part spain
2458838,FEMALE,en,current weather in geneva overcast clouds 16c 53 humidity wind 1kmh pressure 1015mb,0,2016-09-21 11:53:40,NEUTRAL,45,1,"Geneva, Switzerland",0,,current weather geneva overcast cloud 16c 53 humid wind 1kmh pressur 1015mb
675577,UNKNOWN,en,greece lets      researchers meet detained syria iraq afghan  other asylum seekers on lesbos  chios ,0,2016-04-07 12:31:08,NEUTRAL,3533,250,Geneva,0,"['Chios', 'Lesbos']",greec let research meet detain syria iraq afghan asylum seeker lesbo chio
1349659,FEMALE,en,addicted     dejavu ,0,2016-09-12 19:52:08,NEGATIVE,-1,0,,0,['DejaVu'],addict dejavu
1888656,UNKNOWN,en,  i hate you,1,2016-03-17 18:47:10,NEGATIVE,122,521,Switzerland,0,,hate
2267563,UNKNOWN,en,current polls suggest that almost half the electorate are hate filled xenophobes  ,1,2016-06-20 07:12:26,NEGATIVE,216,190,Geneva,0,,current poll suggest almost half elector hate fill xenophob
3403747,FEMALE,en,my stomach hurts,0,2016-10-28 19:31:33,NEGATIVE,459,440,Switzerland,0,,stomach hurt
1843144,UNKNOWN,en,rain tomorrow september 17 2016  with a high of 9c and a low of 7c chatelstdenis,0,2016-09-16 10:03:00,NEUTRAL,7,1,"Châtel-St-Denis, Suisse",0,['chatelstdenis'],rain tomorrow septemb 17 2016 high 9c low 7c chatelstdeni
1689468,UNKNOWN,en,  overworked and tired i read stuff i wanted to read,0,2016-07-15 14:32:40,NEGATIVE,779,477,Zurich,0,,overwork tire read stuff want read
3133560,UNKNOWN,en,2 however if your intention is to provoke and rub salt dont blame those who get hurt because of your constant efforts,1,2016-02-27 05:15:30,NEGATIVE,796,193,Geneva,0,,2 howev intent provok rub salt dont blame get hurt constant effort
1469245,UNKNOWN,en,    the sad part is i have parents posting photos on fb with themselves doing just this let alone the kids,0,2016-09-13 12:52:22,NEGATIVE,3946,1361,Switzerland,0,,sad part parent post photo fb let alon kid
385176,MALE,en,be afraid  tripadvisor is playing the long game with instant booking  tnooz   ,0,2016-08-04 11:13:44,NEGATIVE,2676,2005,"Sierre, Switzerland",0,['TripAdvisor'],afraid tripadvisor play long game instant book tnooz
2417819,UNKNOWN,en,y i feel bad when i feel somethings for an other fucking human,1,2016-08-21 13:33:11,NEGATIVE,362,269,Switzerland,0,,feel bad feel someth fuck human
211574,FEMALE,en,game162 lets go blue jays  ourmoment,0,2016-10-02 19:03:29,NEUTRAL,500,335,Switzerland,0,"['Game162', 'OurMoment']",game162 let go blue jay ourmoment
1772577,FEMALE,en,  cherry or blue raspberry,0,2016-03-16 19:03:05,NEUTRAL,876,567,Switzerland,0,,cherri blue raspberri
1920552,FEMALE,en,  its amazing to what people are willing to overlook in hwood but saying no on principle could hurt their career too ,0,2016-07-17 08:59:51,NEUTRAL,641,940,Iowa,0,,amaz peopl will overlook hwood say principl could hurt career
3110977,UNKNOWN,en,nah fuck that i hate that family,1,2016-10-26 20:05:12,NEGATIVE,-1,0,,0,,nah fuck hate famili
1232628,UNKNOWN,en,time to reread kurt sontheimer anti democratic thinking in the weimar republic were the people whove studied how other governments work  and how they fail and when we see the early warning signs you should too 2,0,2016-10-11 04:32:55,NEGATIVE,212,588,Zurich,0,,time reread kurt sontheim anti democrat think weimar republ peopl whove studi govern work fail see earli warn sign 2
2610889,UNKNOWN,en,my eye hurts so bad blinking hurts and its swollen what am i doing,0,2016-01-23 08:12:06,NEUTRAL,92,56,Switzerland,0,,eye hurt bad blink hurt swollen
